Year,Host City,Total Athletics,Gold,Silver,Bronze,Total Medals,Rank,Country
1984, Los Angeles,48,0,0,0,0,,India
1988, Seoul,46,0,0,0,0,,India
1992, Barcelona,53,0,0,0,0,,India
1996, Atlanta,49,0,0,1,1,71,India
2000, Sydney,65,0,0,1,1,71,India
2004, Athens,73,0,1,0,1,65,India
2008, Beijing,56,1,0,2,3,50,India
2012, London,83,0,2,4,6,55,India
2016, Rio de Janeiro,117,0,1,1,2,57,India
2020, Tokyo,124,1,2,4,7,48,India
1984, Los Angeles,151,1,5,2,8,19,Brazil
1988, Seoul,171,1,2,3,6,24,Brazil
1992, Barcelona,195,2,1,0,3,25,Brazil
1996, Atlanta,225,3,3,9,15,25,Brazil
2000, Sydney,205,0,6,6,12,53,Brazil
2004, Athens,247,5,2,3,10,16,Brazil
2008, Beijing,277,3,4,10,17,23,Brazil
2012, London,259,3,5,9,17,22,Brazil
2016, Rio de Janeiro,465,7,6,6,19,13,Brazil
2020, Tokyo,301,7,6,8,21,12,Brazil
1984, Los Angeles,,,,,,,Russia
1988, Seoul,481,55,31,46,132,1,Russia
1992, Barcelona,475,45,38,29,112,1,Russia
1996, Atlanta,390,26,21,16,63,2,Russia
2000, Sydney,435,32,28,29,89,2,Russia
2004, Athens,446,28,26,36,90,3,Russia
2008, Beijing,455,24,13,23,60,3,Russia
2012, London,436,18,21,27,66,4,Russia
2016, Rio de Janeiro,282,19,17,20,56,4,Russia
2020, Tokyo,335,20,28,23,71,5,Russia
1984, Los Angeles,216,15,8,9,32,4,china
1988, Seoul,273,5,11,12,28,11,china
1992, Barcelona,244,16,22,16,54,4,china
1996, Atlanta,294,16,22,12,50,4,china
2000, Sydney,271,28,16,14,58,3,china
2004, Athens,384,32,17,14,63,2,china
2008, Beijing,639,48,22,30,100,1,china
2012, London,396,39,31,22,92,2,china
2016, Rio de Janeiro,412,26,18,26,70,3,china
2020, Tokyo,406,38,32,19,89,2,china
1984, Los Angeles,,,,,,,South Africa
1988, Seoul,,,,,,,South Africa
1992, Barcelona,93,0,2,0,2,41,South Africa
1996, Atlanta,84,3,1,1,5,27,South Africa
2000, Sydney,127,0,2,3,5,55,South Africa
2004, Athens,106,1,3,2,6,43,South Africa
2008, Beijing,136,0,1,0,1,70,South Africa
2012, London,125,4,1,1,6,43,South Africa
2016, Rio de Janeiro,138,2,6,2,10,30,South Africa
2020, Tokyo,177,1,2,0,3,52,South Africa
